"STATION_ID","BEGIN","END","STATION_HEIGHT","LAT","LON","STATION_NAME","BUNDESLAND"
"03490",1948-01-01,2020-06-09,111,50.5346,7.0853,"Neuenahr, Bad-Ahrweiler","Rheinland-Pfalz"
"03513",1955-01-01,2020-06-09,845,50.5002,11.1344,"Neuhaus am Rennweg","Th<U+00FC>ringen"
"03534",1981-03-01,2020-06-09,583,49.2712,11.4882,"Neumarkt-H<U+00F6>henberg","Bayern"
"03545",1970-01-01,2020-06-09,236,49.344,7.2297,"Neunkirchen-Wellesweiler","Saarland"
"03612",1947-01-01,2020-06-09,25,52.6711,9.2229,"Nienburg","Niedersachsen"
"03623",1969-01-01,2020-06-09,111,50.8294,6.6602,"N<U+00F6>rvenich (Flugplatz)","Nordrhein-Westfalen"
"03667",1975-01-01,2020-06-09,368,49.4258,11.2538,"N<U+00FC>rnberg-Netzstall","Bayern"
"03668",1879-01-01,2020-06-09,314,49.503,11.0549,"N<U+00FC>rnberg","Bayern"
"03821",1984-08-01,2020-06-09,246,51.0873,11.9292,"Osterfeld","Sachsen-Anhalt"
"03836",1972-05-01,2020-06-09,312,50.4538,10.2211,"Ostheim v.d. Rh<U+00F6>n","Bayern"
"03857",1993-10-01,2020-06-09,886,47.6362,10.3892,"Oy-Mittelberg-Petersthal","Bayern"
"03897",1998-01-01,2020-06-09,2,54.0893,10.8773,"Pelzerhaken","Schleswig-Holstein"
"03925",1989-04-06,2020-06-09,333,48.9329,8.6973,"Pforzheim-Ispringen","Baden-W<U+00FC>rttemberg"
"03939",1950-01-01,2020-06-09,385,49.1912,7.5879,"Pirmasens","Rheinland-Pfalz"
"03946",1882-01-01,2020-06-09,386,50.4819,12.13,"Plauen","Sachsen"
"03987",1893-01-01,2020-06-09,81,52.3813,13.0622,"Potsdam","Brandenburg"
"04032",1945-01-01,2020-06-09,142,51.7953,11.132,"Quedlinburg","Sachsen-Anhalt"
"04039",1974-12-01,2020-06-09,11,53.7331,9.8776,"Quickborn","Schleswig-Holstein"
"04063",1951-01-01,2020-06-09,41,52.4461,8.5906,"Rahden-Kleinendorf","Nordrhein-Westfalen"
"04104",1879-01-01,2020-06-09,365,49.0425,12.1019,"Regensburg","Bayern"
"04160",1970-12-22,2020-06-09,478,48.7425,8.924,"Renningen-Ihinger Hof","Baden-W<U+00FC>rttemberg"
"04177",1948-01-01,2020-06-09,116,48.9726,8.3301,"Rheinstetten","Baden-W<U+00FC>rttemberg"
"04261",1950-01-01,2020-06-09,442,47.8753,12.128,"Rosenheim","Bayern"
"04271",1947-01-01,2020-06-09,4,54.1803,12.0808,"Rostock-Warnem<U+00FC>nde","Mecklenburg-Vorpommern"
"04275",1946-01-01,2020-06-09,32,53.1288,9.3398,"Rotenburg (W<U+00FC>mme)","Niedersachsen"
"04280",1971-01-01,2020-06-09,386,49.2162,11.1035,"Roth","Bayern"
"04300",1957-02-01,2020-06-09,588,48.1814,8.6356,"Rottweil","Baden-W<U+00FC>rttemberg"
"04301",1947-01-01,2020-06-09,102,49.8502,7.871,"Kreuznach, Bad","Rheinland-Pfalz"
"04323",1969-01-01,2020-06-09,461,49.6468,7.8837,"Ruppertsecken","Rheinland-Pfalz"
"04336",1951-01-01,2020-06-09,320,49.2128,7.1077,"Saarbr<U+00FC>cken-Ensheim","Saarland"
"04349",1987-11-01,2020-06-09,248,48.9569,9.071,"Sachsenheim","Baden-W<U+00FC>rttemberg"
